iso3,pin_2022,pin_2023,Physical,Conflict,Displacement,Complex,vuln,climate_vulnerability,ipc_phase,consecutive_crisis,crisis_class,HRP_funding,HRP_requirements,RRP_requirements,RRP_funding
AFG,24.42,28.4,1,1,1,1,0.579588111580719,very vulnerable,3,15,PC,2837233874,4442200000,,
AGO,1.59,1.59,1,0,0,1,0.50586122712232,vulnerable,3,6,PC,,,25050491,11234279
ARM,0.07,0.03,0,1,0,1,0.380703202953702,resilient,,,,,,,
AZE,0,0,0,1,0,1,0.397940295675533,slightly vulnerable,,,,,,,
BDI,2.4,1.8,1,0,1,1,0.558512240955858,very vulnerable,2,7,PC,89473163,182414025,54342707,15748624
BFA,4.889324,4.65,1,1,1,1,0.543886886097753,very vulnerable,2,19,PC,311431181,805099698,,
BGD,4.89,1.516,1,0,1,1,0.543013358992345,very vulnerable,,7,PC,,,881030780,486129974
BRA,0.48,0.32,0,0,1,1,0.380982520483097,resilient,,5,PC,,,125548197,33014995
CAF,3.1,3.426462,0,1,1,1,0.560927149300608,very vulnerable,3,20,PC,418030500,461253975,,
CHL,0.48,0.48,0,0,0,1,0.316738315053455,very resilient,,4,RC,,,59473329,12951303
CMR,11.69,4.7,0,1,1,1,0.47245740913281,vulnerable,2,9,PC,192802298,376046051,,
COD,27.026244,26.43,1,1,1,1,0.5917168845683,very vulnerable,3,23,PC,906005233,1881674597,,
COG,1.2,0.04,1,0,1,1,0.512200941335931,vulnerable,,9,PC,,,15470197,14381550
COL,7.7,7.7,1,0,1,1,0.408777988145001,slightly vulnerable,,5,PC,101601844,284367066,802903743,307083566
CRI,0.18,0.18,0,0,1,0,0.35980206130213,resilient,,5,PC,,,9409183,7228201
CUB,1.09,,,,,,0.42108848692845,slightly vulnerable,,1,C,7437978,41817107,,
DJI,0.23,0.24,1,0,1,1,0.47763002197908,vulnerable,2,3,RC,,,9376294,28588060
DOM,0.1,0.1,0,0,0,1,0.423240589957843,slightly vulnerable,2,6,PC,,,24394843,7614352
DZA,0.26,0.26,0,0,1,1,0.387209304260752,resilient,,0,"",,,,
ECU,0.87,0.87,0,0,1,1,0.438539879662541,slightly vulnerable,,5,PC,,,288286393,97116015
EGY,2.67,0.15,0,0,1,1,0.439372527949505,slightly vulnerable,,10,PC,,,130191927,68549850
ERI,2.58,1.2,0,1,0,1,0.586623081225137,very vulnerable,,0,"",,,,
ESP,0.16,0.17,0,0,1,1,0.286944195602301,very resilient,,,,,,,
ETH,28.51,38.21,1,1,1,1,0.55817049395349,very vulnerable,,9,PC,1697923777,3335002211,287802643,160175578
GMB,0.05,0.05,1,0,0,0,0.529798143025744,very vulnerable,2,0,"",,,,
GRC,0.02,0.02,0,0,1,1,0.318850311043105,very resilient,,0,"",,,,
GTM,3.8,5,1,0,1,1,0.449136784948502,vulnerable,3,2,RC,51988884,153531304,,
HND,3.3,3.2,1,0,1,1,0.461282088265434,vulnerable,3,2,RC,64575504,155296363,,
HTI,5.05,5.2,1,0,0,1,0.529586966234646,very vulnerable,3,13,PC,192205180,518765968,,
HUN,1.59,0.03,,,,,0.351340563323141,resilient,,1,C,,,75297944,43292139
IDN,0.1,0.1,1,1,0,1,0.445834039980613,vulnerable,,0,"",,,,
IND,0,0,0,1,0,1,0.50279680997285,vulnerable,,0,"",,,,
IRN,3.4,2.88,0,0,1,0,0.388783716363852,resilient,,1,C,,,258735082,122885767
IRQ,2.77,2.76,1,1,1,1,0.435669171425608,slightly vulnerable,,11,PC,335004769,400004347,251126418,69553977
ITA,0.24,0.25,0,0,1,1,0.313800521031788,very resilient,,0,"",,,,
JOR,0.78,0.78,0,0,1,1,0.374988566851631,resilient,,11,PC,,,1.3e+09,504788053
KEN,4.92,6.4,1,1,1,1,0.51779596047152,vulnerable,3,15,PC,167399685,289641587,115212050,236621071
LBN,2.5,2.3,1,0,1,1,0.41166744710448,slightly vulnerable,3,11,PC,277378406,378175867,3195999999,824767950
LBY,1.3,1.03,0,0,1,1,0.418919658825194,slightly vulnerable,,8,PC,86849557,113799273,,
LKA,7,7,,,,,0.469694686164795,vulnerable,,1,C,96928146,149692653,,
LSO,0.34,0.32,1,0,0,1,0.458510889206202,vulnerable,3,0,"",,,,
MAR,0.02,0.02,0,0,1,1,0.37727639616599,resilient,,0,"",,,,
MDA,0.7,0.1,,,,,0.413718635495299,slightly vulnerable,,1,C,,,391539208,267459512
MDG,3.3,2.26,1,0,0,1,0.545524785286395,very vulnerable,3,2,RC,155560303,219267779,,
MEX,0.1,0.1,1,1,1,1,0.403547364723798,slightly vulnerable,,5,PC,,,6154654,4736199
MLI,7.522833,9,0,1,1,1,0.597628097991258,very vulnerable,2,19,PC,261851611,685734819,,
MMR,14.41,17.619805,1,1,0,1,0.537252613995775,very vulnerable,,10,PC,344996540,825698032,,
MOZ,2.49,2.3,1,1,1,1,0.513030464591059,vulnerable,2,4,RC,284882624,436573657,,
MRT,0.1,0.1,1,0,1,1,0.558400738749377,very vulnerable,2,0,"",,,,
MWI,4.5,4.5,1,0,0,1,0.547513576537147,very vulnerable,2,1,C,15851655,29450000,,
MYS,0.19,0.18,0,0,1,0,0.368239193766313,resilient,,0,"",,,,
NAM,0.75,0.75,0,0,0,1,0.469830680855719,vulnerable,3,0,"",,,,
NER,3.82,4.2,1,1,1,1,0.676519382292042,very vulnerable,2,18,PC,351641798,552598446,,
NGA,19.16,19.16,0,1,1,1,0.492881125652429,vulnerable,2,9,PC,706633736,1127211641,,
NIC,0,0,1,0,0,1,0.445134906177536,slightly vulnerable,,0,"",,,,
PAK,52.2,31.6,0,1,0,1,0.518371678546019,vulnerable,3,7,PC,229830611,472308627,310442000,192643170
PAN,0.09,0.07,0,0,0,1,0.387167413605198,resilient,,5,PC,,,8516870,11749098
PER,1.7,1.7,0,0,1,1,0.43797173514576,slightly vulnerable,,6,PC,,,304046314,102690192
PHL,2.7,0.23,1,1,0,1,0.462078295183088,vulnerable,,1,C,92541057,168906963,,
PNG,0.27,0.26,1,0,0,0,0.524371844480139,very vulnerable,,,,,,,
POL,7.58,1.56,,,,,0.316538303390242,very resilient,,1,C,,,777764695,430949194
PRK,10.43,10.43,0,0,0,1,0.483261446383265,vulnerable,,0,"",,,,
PSE,2.36,2.1,0,1,0,0,,,,20,PC,389041265,509872202,,
ROU,1.56,0.11,,,,,0.392210115295438,slightly vulnerable,,1,C,,,226586000,198348364
RWA,0.14,0.13,1,0,1,1,0.565902737523551,very vulnerable,,8,PC,,,75359724,41193237
SDN,15.8,15.8,1,1,1,1,0.614840261418446,very vulnerable,2,23,PC,838817862,1936697740,,
SEN,0.88,0.88,1,0,0,0,0.526792155182458,very vulnerable,2,0,"",,,,
SLV,1.7,1.7,0,0,0,1,0.441713927506467,slightly vulnerable,2,2,RC,29326708,114317607,,
SOM,7.846888,7.8,1,1,1,1,0.676129752264291,very vulnerable,3,23,PC,1513791331,2267407090,11334555,410000
SSD,12.52,12.52,1,1,1,1,,,4,12,PC,1146455478,1699588587,,
SVK,0.95,0.11,,,,,0.351769820628087,resilient,,1,C,,,87477072,90483335
SWZ,0.34,0.26,0,0,0,1,0.511687422921734,vulnerable,3,0,"",,,,
SYR,14.560823,15.3,1,1,1,1,0.460870525177594,vulnerable,,11,PC,2115046882,4443672111,,
TCD,6.4,6.9,1,1,1,1,0.621749327859286,very vulnerable,2,19,PC,244509041,510909899,,
THA,0.09,0.09,0,1,1,1,0.419051601082963,slightly vulnerable,,0,"",,,,
TON,0,,,,,,0.567004833752158,very vulnerable,,,,,,,
TTO,0.06,0.04,0,0,1,1,0.357037266859425,resilient,,4,RC,,,20890057,4344558
TUN,0.01,0.01,0,0,1,1,0.382299988073605,resilient,,0,"",,,,
TUR,2.43,2.17,0,1,1,1,0.34810691123594,very resilient,,11,PC,,,1163688761,418148135
TZA,0.85,1.36,0,0,1,1,0.519737847851523,very vulnerable,2,9,PC,,,90315733,56202549
