iso3,Year,inform_ph,gain,inform_ph_class,gain_class
AFG,1995,64,34.6403306405188,High,Very high
AFG,1996,64,34.6185453083568,High,Very high
AFG,1997,64,34.6691859417394,High,Very high
AFG,1998,64,34.8392320339542,High,Very high
AFG,1999,64,34.8527388989955,High,Very high
AFG,2000,64,34.8674887125526,High,Very high
AFG,2001,64,35.3175918953871,High,Very high
AFG,2002,64,35.7857249109156,High,Very high
AFG,2003,64,36.6315691380112,High,Very high
AFG,2004,64,36.2973053720889,High,Very high
AFG,2005,64,33.3231118466458,High,Very high
AFG,2006,64,31.5009730350403,High,Very high
AFG,2007,64,31.4398280374421,High,Very high
AFG,2008,64,31.1247678943051,High,Very high
AFG,2009,64,31.032512010618,High,Very high
AFG,2010,64,31.7501686320897,High,Very high
AFG,2011,64,30.9446997907753,High,Very high
AFG,2012,68,32.0211477967573,Very high,Very high
AFG,2013,71,31.9299577434767,Very high,Very high
AFG,2014,70,32.9016851149945,Very high,Very high
AFG,2015,69,32.9890994645275,Very high,Very high
AFG,2016,68,33.2939389702559,Very high,Very high
AFG,2017,67,32.5581723757689,Very high,Very high
AFG,2018,66,32.3676070071482,Very high,Very high
AFG,2019,66,33.5215727214542,Very high,Very high
AFG,2020,66,32.9999316006805,Very high,Very high
AFG,2021,66,32.9999316006805,Very high,Very high
AFG,2022,66,32.9999316006805,Very high,Very high
AGO,1995,37,33.5091565160289,Medium,Very high
AGO,1996,37,33.4940141939101,Medium,Very high
AGO,1997,37,33.1602857869179,Medium,Very high
AGO,1998,37,32.8235107416327,Medium,Very high
AGO,1999,37,32.835942936145,Medium,Very high
AGO,2000,37,32.8449729565934,Medium,Very high
AGO,2001,37,33.3425141320027,Medium,Very high
AGO,2002,37,34.0554803571983,Medium,Very high
AGO,2003,37,34.851996556763,Medium,Very high
AGO,2004,37,34.9180876335213,Medium,Very high
AGO,2005,37,34.4332897691402,Medium,Very high
AGO,2006,37,33.2682594937108,Medium,Very high
AGO,2007,37,33.8104359891558,Medium,Very high
AGO,2008,37,34.2296440076023,Medium,Very high
AGO,2009,37,34.4861547016376,Medium,Very high
AGO,2010,37,33.8083557523929,Medium,Very high
AGO,2011,37,33.8412686295024,Medium,Very high
AGO,2012,37,34.7406859988214,Medium,Very high
AGO,2013,46,35.1159195791849,Medium,Very high
AGO,2014,46,35.2082009589822,Medium,Very high
AGO,2015,45,35.4055649069908,Medium,Very high
AGO,2016,45,36.81489241678,Medium,Very high
AGO,2017,45,36.9092213995446,Medium,Very high
AGO,2018,45,37.3959967372144,Medium,Very high
AGO,2019,45,37.5463354843007,Medium,Very high
AGO,2020,44,37.8609948419591,Medium,Very high
AGO,2021,44,37.8609948419591,Medium,Very high
AGO,2022,45,37.8609948419591,Medium,Very high
ALB,1995,47,43.8381966193676,Medium,High
ALB,1996,47,43.8389174764782,Medium,High
ALB,1997,47,43.9031142060547,Medium,High
ALB,1998,47,43.7113269530465,Medium,High
ALB,1999,47,43.4655461497767,Medium,High
ALB,2000,47,43.63645387207,Medium,High
ALB,2001,47,43.9041306927774,Medium,High
ALB,2002,47,44.3279066326114,Medium,High
ALB,2003,47,44.1087162614098,Medium,High
ALB,2004,47,44.872832270561,Medium,High
ALB,2005,47,44.5474505787256,Medium,High
ALB,2006,47,43.910525651558,Medium,High
ALB,2007,47,44.6731725190918,Medium,High
ALB,2008,47,45.4985298366092,Medium,Medium
ALB,2009,47,46.5258311981432,Medium,Medium
ALB,2010,47,46.8333642680024,Medium,Medium
ALB,2011,47,47.0018679499062,Medium,Medium
ALB,2012,49,47.6540875488068,Medium,Medium
ALB,2013,53,48.3655566795049,High,Medium
ALB,2014,53,49.7806020967578,High,Medium
ALB,2015,51,50.0741942232364,High,Low
ALB,2016,50,49.8134628096069,High,Medium
ALB,2017,50,49.8468256077438,High,Medium
ALB,2018,48,49.9727328315175,Medium,Medium
ALB,2019,50,49.892286692483,High,Medium
ALB,2020,50,49.7578377350107,High,Medium
ALB,2021,50,49.7578377350107,High,Medium
ALB,2022,50,49.7578377350107,High,Medium
AND,1995,,,,
AND,1996,,,,
AND,1997,,,,
AND,1998,,,,
AND,1999,,,,
AND,2000,,,,
AND,2001,,,,
AND,2002,,,,
AND,2003,,,,
AND,2004,,,,
AND,2005,,,,
AND,2006,,,,
AND,2007,,,,
AND,2008,,,,
AND,2009,,,,
AND,2010,,,,
AND,2011,,,,
AND,2012,,,,
AND,2013,,,,
AND,2014,,,,
AND,2015,,,,
AND,2016,,,,
AND,2017,,,,
AND,2018,,,,
AND,2019,,,,
AND,2020,,,,
ARE,1995,31,50.3411525522881,Low,Low
ARE,1996,31,50.3744298110303,Low,Low
ARE,1997,31,50.4756881993563,Low,Low
ARE,1998,31,50.6365606429725,Low,Low
ARE,1999,31,50.7669166153337,Low,Low
ARE,2000,31,51.0593854818665,Low,Low
ARE,2001,31,51.9340488697513,Low,Low
ARE,2002,31,52.9643968196467,Low,Low
ARE,2003,31,52.3801652955818,Low,Low
ARE,2004,31,52.4458856222001,Low,Low
ARE,2005,31,52.9600609394484,Low,Low
ARE,2006,31,54.9665744276253,Low,Low
ARE,2007,31,55.4488850841645,Low,Low
ARE,2008,31,55.5914211004941,Low,Low
ARE,2009,31,55.2678766720203,Low,Low
ARE,2010,31,56.6309305231743,Low,Low
ARE,2011,31,57.3821438695667,Low,Low
ARE,2012,36,57.8212634966323,Medium,Low
ARE,2013,33,59.1829582195118,Low,Low
ARE,2014,31,60.4291815190779,Low,Very low
ARE,2015,28,60.613216381747,Low,Very low
ARE,2016,27,59.9767246054025,Low,Low
ARE,2017,28,60.3573234924118,Low,Very low
ARE,2018,26,60.4424061085156,Low,Very low
ARE,2019,26,60.6210686398513,Low,Very low
ARE,2020,26,60.7350588503079,Low,Very low
ARE,2021,26,60.7350588503079,Low,Very low
ARE,2022,26,60.7350588503079,Low,Very low
ARG,1995,33,48.5369616203106,Low,Medium
ARG,1996,33,48.7038457496247,Low,Medium
ARG,1997,33,48.5364006078743,Low,Medium
ARG,1998,33,48.4213538609006,Low,Medium
ARG,1999,33,48.4352416211608,Low,Medium
ARG,2000,33,48.5348773460404,Low,Medium
ARG,2001,33,47.1908220861834,Low,Medium
ARG,2002,33,46.1585007472681,Low,Medium
ARG,2003,33,46.8070737030022,Low,Medium
