ISO,year,base_year,currency,source,ver,gdp_defl
ABW,1980,2020,USD,WEO_est,Oct2022,0.59887648763946
ABW,1981,2020,USD,WEO_est,Oct2022,0.60217644242249
ABW,1982,2020,USD,WEO_est,Oct2022,0.605494580757213
ABW,1983,2020,USD,WEO_est,Oct2022,0.60883100283941
ABW,1984,2020,USD,WEO_est,Oct2022,0.612185809416967
ABW,1985,2020,USD,WEO_est,Oct2022,0.615559101792915
ABW,1986,2020,USD,WEO_est,Oct2022,0.61895098182849
ABW,1987,2020,USD,WEO_est,Oct2022,0.622361551946206
ABW,1988,2020,USD,WEO_est,Oct2022,0.625790915132953
ABW,1989,2020,USD,WEO_est,Oct2022,0.629239174943102
ABW,1990,2020,USD,WEO_est,Oct2022,0.632706435501632
ABW,1991,2020,USD,WEO_est,Oct2022,0.63619280150728
ABW,1992,2020,USD,WEO_est,Oct2022,0.639698378235694
ABW,1993,2020,USD,WEO_est,Oct2022,0.64322327154262
ABW,1994,2020,USD,WEO_est,Oct2022,0.646767587867093
ABW,1995,2020,USD,WEO,Oct2022,0.650331434234653
ABW,1996,2020,USD,WEO,Oct2022,0.670943514245332
ABW,1997,2020,USD,WEO,Oct2022,0.695999307595721
ABW,1998,2020,USD,WEO,Oct2022,0.741670399735472
ABW,1999,2020,USD,WEO,Oct2022,0.757126165877957
ABW,2000,2020,USD,WEO,Oct2022,0.764302962534889
ABW,2001,2020,USD,WEO,Oct2022,0.742631571064936
ABW,2002,2020,USD,WEO,Oct2022,0.775814113429612
ABW,2003,2020,USD,WEO,Oct2022,0.799357692534478
ABW,2004,2020,USD,WEO,Oct2022,0.821923460822977
ABW,2005,2020,USD,WEO,Oct2022,0.863502054350301
ABW,2006,2020,USD,WEO,Oct2022,0.893678277274961
ABW,2007,2020,USD,WEO,Oct2022,0.939892710603621
ABW,2008,2020,USD,WEO,Oct2022,0.979813087371606
ABW,2009,2020,USD,WEO,Oct2022,0.996594243838786
ABW,2010,2020,USD,WEO,Oct2022,0.984479140831365
ABW,2011,2020,USD,WEO,Oct2022,1.02380309157631
ABW,2012,2020,USD,WEO,Oct2022,1.02555283766789
ABW,2013,2020,USD,WEO,Oct2022,1.00522335601592
ABW,2014,2020,USD,WEO,Oct2022,1.0285921138319
ABW,2015,2020,USD,WEO,Oct2022,1.05453429454015
ABW,2016,2020,USD,WEO,Oct2022,1.04006288603342
ABW,2017,2020,USD,WEO,Oct2022,1.02177400377318
ABW,2018,2020,USD,WEO,Oct2022,1.00525780020498
ABW,2019,2020,USD,WEO,Oct2022,1.05090856321839
ABW,2020,2020,USD,WEO,Oct2022,1
ABW,2021,2020,USD,WEO,Oct2022,1.02224330803428
ABW,2022,2020,USD,WEO,Oct2022,1.10074000671861
ABW,2023,2020,USD,WEO,Oct2022,1.13430300192197
ABW,2024,2020,USD,WEO,Oct2022,1.16895481156061
ABW,2025,2020,USD,WEO,Oct2022,1.2044525852432
ABW,2026,2020,USD,WEO,Oct2022,1.24104868609546
ABW,2027,2020,USD,WEO,Oct2022,1.27427197130062
AFG,1980,2020,USD,WEO_est,Oct2022,0.341209546919
AFG,1981,2020,USD,WEO_est,Oct2022,0.350506151768501
AFG,1982,2020,USD,WEO_est,Oct2022,0.360056052173499
AFG,1983,2020,USD,WEO_est,Oct2022,0.369866149431777
