plan_id,plan_name,location,iso,year,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source
1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,occupied Palestinian territory,PSE,2022,0,Total,In Need,inNeed,2075542,Total,Total,Final plan caseload 2022,
1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,occupied Palestinian territory,PSE,2022,0,Total,Targeted,target,1600000,Total,Total,Final plan caseload 2022,
1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,occupied Palestinian territory,PSE,2022,0,Total,Expected Reach,expectedReach,1150000,Total,Total,Final plan caseload 2022,
1060,Libya Humanitarian Response Plan 2022,Libya,LBY,2022,0,Total,In Need,inNeed,803587,Total,Total,Final HRP caseload,
1060,Libya Humanitarian Response Plan 2022,Libya,LBY,2022,0,Total,Targeted,target,398930,Total,Total,Final HRP caseload,
1060,Libya Humanitarian Response Plan 2022,Libya,LBY,2022,0,Total,Expected Reach,expectedReach,241662,Total,Total,Final HRP caseload,
1061,Afghanistan Situation Regional Refugee Response Plan 2022,"Pakistan; Turkmenistan; Uzbekistan; Tajikistan; Iran, Islamic Republic of",PAK; TKM; UZB; TJK; IRN,2022,0,Total,In Need,inNeed,5702498,Total,Total,GHO Total Estimates,
1061,Afghanistan Situation Regional Refugee Response Plan 2022,"Pakistan; Turkmenistan; Uzbekistan; Tajikistan; Iran, Islamic Republic of",PAK; TKM; UZB; TJK; IRN,2022,0,Total,Targeted,target,5702498,Total,Total,GHO Total Estimates,
1061,Afghanistan Situation Regional Refugee Response Plan 2022,"Pakistan; Turkmenistan; Uzbekistan; Tajikistan; Iran, Islamic Republic of",PAK; TKM; UZB; TJK; IRN,2022,0,Total,Expected Reach,expectedReach,,Total,Total,GHO Total Estimates,
1062,Nigeria Humanitarian Response Plan 2022,Nigeria,NGA,2022,0,Total,In Need,inNeed,8364426,Total,Total,Plan Caseload final,
1062,Nigeria Humanitarian Response Plan 2022,Nigeria,NGA,2022,0,Total,Targeted,target,5580089,Total,Total,Plan Caseload final,
1062,Nigeria Humanitarian Response Plan 2022,Nigeria,NGA,2022,0,Total,Expected Reach,expectedReach,4200000,Total,Total,Plan Caseload final,
1063,Somalia Humanitarian Response Plan 2022,Somalia,SOM,2022,0,Total,In Need,inNeed,7846888,Total,Total,SOMALIA HRP 2022,"OCHA, REACH, FSNAU"
1063,Somalia Humanitarian Response Plan 2022,Somalia,SOM,2022,0,Total,Targeted,target,7613133,Total,Total,SOMALIA HRP 2022,"OCHA, REACH, FSNAU"
1063,Somalia Humanitarian Response Plan 2022,Somalia,SOM,2022,0,Total,Expected Reach,expectedReach,7300000,Total,Total,SOMALIA HRP 2022,"OCHA, REACH, FSNAU"
1064,République Centrafricaine Plan de Réponse Humanitaire 2022,Central African Republic,CAF,2022,0,Total,Dans le besoin,inNeed,3053039,Total,Total,Final caseload,HRP 2022
1064,République Centrafricaine Plan de Réponse Humanitaire 2022,Central African Republic,CAF,2022,0,Total,Ciblées,target,2040973,Total,Total,Final caseload,HRP 2022
1064,République Centrafricaine Plan de Réponse Humanitaire 2022,Central African Republic,CAF,2022,0,Total,Atteintes attendues,expectedReach,1800000,Total,Total,Final caseload,HRP 2022
1066,Regional Migrant Response Plan for the Horn of Africa and Yemen 2022,Somalia; Ethiopia; Djibouti; Yemen,SOM; ETH; DJI; YEM,2022,0,Total,In Need,inNeed,303804,Total,Total,Final Caseload,
1066,Regional Migrant Response Plan for the Horn of Africa and Yemen 2022,Somalia; Ethiopia; Djibouti; Yemen,SOM; ETH; DJI; YEM,2022,0,Total,Targeted,target,163954,Total,Total,Final Caseload,
1066,Regional Migrant Response Plan for the Horn of Africa and Yemen 2022,Somalia; Ethiopia; Djibouti; Yemen,SOM; ETH; DJI; YEM,2022,0,Total,Expected Reach,expectedReach,,Total,Total,Final Caseload,
1067,Madagascar Flash Appeal 2022,Madagascar,MDG,2022,0,Total,In Need,inNeed,3300000,Total,Total,Final caseload,
1067,Madagascar Flash Appeal 2022,Madagascar,MDG,2022,0,Total,Targeted,target,1930000,Total,Total,Final caseload,
1067,Madagascar Flash Appeal 2022,Madagascar,MDG,2022,0,Total,Expected Reach,expectedReach,1750000,Total,Total,Final caseload,
1068,Sudan Humanitarian Response Plan 2022,Sudan,SDN,2022,0,Total,In Need,inNeed,14257653,Total,Total,Final Caseload,
1068,Sudan Humanitarian Response Plan 2022,Sudan,SDN,2022,0,Total,Targeted,target,10933315,Total,Total,Final Caseload,
1068,Sudan Humanitarian Response Plan 2022,Sudan,SDN,2022,0,Total,Expected Reach,expectedReach,7100000,Total,Total,Final Caseload,
1069,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2022,"Uruguay; Trinidad and Tobago; Paraguay; Panama; Mexico; Guyana; Ecuador; Dominican Republic; Curaçao; Costa Rica; Chile; Brazil; Bolivia, Plurinational State of; Aruba; Argentina; Colombia; Peru",URY; TTO; PRY; PAN; MEX; GUY; ECU; DOM; CUW; CRI; CHL; BRA; BOL; ABW; ARG; COL; PER,2022,0,Total,Personas con Necesidades,inNeed,8859400,Total,Total,GHO Total Estimates,
1069,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2022,"Uruguay; Trinidad and Tobago; Paraguay; Panama; Mexico; Guyana; Ecuador; Dominican Republic; Curaçao; Costa Rica; Chile; Brazil; Bolivia, Plurinational State of; Aruba; Argentina; Colombia; Peru",URY; TTO; PRY; PAN; MEX; GUY; ECU; DOM; CUW; CRI; CHL; BRA; BOL; ABW; ARG; COL; PER,2022,0,Total,Población Meta,target,4168100,Total,Total,GHO Total Estimates,
1069,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2022,"Uruguay; Trinidad and Tobago; Paraguay; Panama; Mexico; Guyana; Ecuador; Dominican Republic; Curaçao; Costa Rica; Chile; Brazil; Bolivia, Plurinational State of; Aruba; Argentina; Colombia; Peru",URY; TTO; PRY; PAN; MEX; GUY; ECU; DOM; CUW; CRI; CHL; BRA; BOL; ABW; ARG; COL; PER,2022,0,Total,Alcance esperado,expectedReach,,Total,Total,GHO Total Estimates,
1071,South Sudan Regional Refugee Response Plan 2022,Ethiopia; Kenya; Uganda,ETH; KEN; UGA,2022,0,Total,In Need,inNeed,2560600,Total,Total,GHO Total Estimates,
1071,South Sudan Regional Refugee Response Plan 2022,Ethiopia; Kenya; Uganda,ETH; KEN; UGA,2022,0,Total,Targeted,target,2560600,Total,Total,GHO Total Estimates,
1071,South Sudan Regional Refugee Response Plan 2022,Ethiopia; Kenya; Uganda,ETH; KEN; UGA,2022,0,Total,Expected Reach,expectedReach,,Total,Total,GHO Total Estimates,
1072,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2022,Lebanon; Jordan; Iraq; Türkiye; Egypt,LBN; JOR; IRQ; TUR; EGY,2022,0,Total,In Need,inNeed,20111553,Total,Total,Final plan caseload 2022,
1072,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2022,Lebanon; Jordan; Iraq; Türkiye; Egypt,LBN; JOR; IRQ; TUR; EGY,2022,0,Total,Targeted,target,11447778,Total,Total,Final plan caseload 2022,
1072,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2022,Lebanon; Jordan; Iraq; Türkiye; Egypt,LBN; JOR; IRQ; TUR; EGY,2022,0,Total,Expected Reach,expectedReach,,Total,Total,Final plan caseload 2022,
1075,Burundi Plan de Réponse Humanitaire 2022,Burundi,BDI,2022,0,Total,Dans le besoin,inNeed,1795961,Total,Total,Final HRP Plan caseload,
1075,Burundi Plan de Réponse Humanitaire 2022,Burundi,BDI,2022,0,Total,Ciblées,target,947410,Total,Total,Final HRP Plan caseload,
1075,Burundi Plan de Réponse Humanitaire 2022,Burundi,BDI,2022,0,Total,Atteintes attendues,expectedReach,196135,Total,Total,Final HRP Plan caseload,
1076,Mali Plan de Réponse Humanitaire 2022,Mali,MLI,2022,0,Total,Dans le besoin,inNeed,7522833,Total,Total,Mali Plan de Réponse Humanitaire 2022,HRP 2022
1076,Mali Plan de Réponse Humanitaire 2022,Mali,MLI,2022,0,Total,Ciblées,target,5264731,Total,Total,Mali Plan de Réponse Humanitaire 2022,HRP 2022
1076,Mali Plan de Réponse Humanitaire 2022,Mali,MLI,2022,0,Total,Atteintes attendues,expectedReach,3200000,Total,Total,Mali Plan de Réponse Humanitaire 2022,HRP 2022
