appeal_id,plan_name,year,Total current requirements:,Total incoming funding:,Total original requirements:,Coverage:,Total pledges:
1100,Afghanistan Humanitarian Response Plan 2022,2022,4442200000,2785644702,4442200000,62.7,0
1087,Burkina Faso Plan de Réponse Humanitaire 2022,2022,805099698,311431181,,38.7,0
1075,Burundi Plan de Réponse Humanitaire 2022,2022,182414025,89473163,182414025,49,0
1080,Cameroon Humanitarian Response Plan 2022,2022,376046051,184136123,376046051,49,0
1064,République Centrafricaine Plan de Réponse Humanitaire 2022,2022,461253975,418030500,461253975,90.6,698000
1091,Tchad Plan de Réponse Humanitaire 2022,2022,510909899,244509041,510909899,47.9,0
1090,Colombia Plan de Respuesta Humanitario 2022,2022,284367066,101601844,284367066,35.7,315000
1093,République Démocratique du Congo Plan de Réponse Humanitaire 2022,2022,1881674597,906005233,1881674597,48.1,0
1084,El Salvador Plan de Respuesta Humanitario 2022,2022,114317607,27793325,114317607,24.3,0
1079,Ethiopia Humanitarian Response Plan 2022,2022,3335002211,1625594304,3335002211,48.7,0
1085,Guatemala Plan de Respuesta Humanitario 2022,2022,153531304,50504753,153531304,32.9,0
1096,Haiti Plan de Réponse Humanitaire 2022,2022,373165734,176487799,373165734,47.3,0
1086,Honduras Plan de Respuesta Humanitario 2022,2022,155296363,63388378,155296363,40.8,0
1083,Iraq Humanitarian Response Plan 2022,2022,400004347,334125140,400004347,83.5,0
1060,Libya Humanitarian Response Plan 2022,2022,113799273,89014629,75287520,78.2,0
1076,Mali Plan de Réponse Humanitaire 2022,2022,685734819,259854749,685734819,37.9,0
1094,Mozambique Humanitarian Response Plan 2022,2022,388499803,270273464,388499803,69.6,154321
1095,Myanmar Humanitarian Response Plan 2022,2022,825698032,292194799,825698032,35.4,0
1078,Niger Plan de Réponse Humanitaire 2022,2022,552598446,335005388,552598446,60.6,0
1062,Nigeria Humanitarian Response Plan 2022,2022,1127211641,704346119,1127211641,62.5,0
1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,2022,509872202,365941265,509872202,71.8,555410
1063,Somalia Humanitarian Response Plan 2022,2022,2267407090,1512884681,,66.7,0
1098,South Sudan Humanitarian Response Plan 2022,2022,1699588587,1142885059,1699588587,67.2,0
1068,Sudan Humanitarian Response Plan 2022,2022,1936697740,833878851,1936697740,43.1,4540295
1088,Syrian Arab Republic Humanitarian Response Plan 2022 - 2023,2022,4443672111,2125294969,4443672111,47.8,6560942
1097,Venezuela Plan de Respuesta Humanitario 2022,2022,797115748,317203103,797115748,39.8,0
1077,Yemen Humanitarian Response Plan 2022,2022,4271938417,2214383806,4271938417,51.8,0
1147,Haiti Cholera+ Flash Appeal 2022,2022,145600234,15217381,145600234,10.5,0
1105,Kenya Drought Flash Appeal 2022,2022,289641587,167399685,250461585,57.8,0
1067,Madagascar Flash Appeal 2022,2022,219267779,155560303,64518126,70.9,0
1104,Malawi Flash Appeal 2022,2022,29450000,15851655,,53.8,0
1106,Mozambique Gombe Emergency Response Plan 2022,2022,48073854,14926082,48073854,31,0
1102,Ukraine Flash Appeal 2022,2022,4292463880,3427778181,1139900000,79.9,2173913
1061,Afghanistan Situation Regional Refugee Response Plan 2022,2022,623415539,128767184,623415539,20.7,0
1082,Rohingya Humanitarian Crisis Joint Response Plan 2022,2022,881030780,478479974,881030780,54.3,0
1092,Democratic Republic of the Congo Regional Refugee Response Plan 2022,2022,595687989,198119713,595687989,33.3,0
1071,South Sudan Regional Refugee Response Plan 2022,2022,873323126,566010518,873323126,64.8,0
1072,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2022,2022,6080899576,2097869339,6080899576,34.5,0
1066,Regional Migrant Response Plan for the Horn of Africa and Yemen 2022,2022,41579330,37556811,40259330,90.3,0
1103,Ukraine Situation Regional Refugee Response Plan 2022,2022,1850500037,938079444,550649000,50.7,0
1069,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2022,2022,1786198773,625707260,1786198773,35,0
1099,Lebanon Emergency Response Plan 2022,2022,378175867,246986933,215035166,65.3,0
1108,Pakistan Floods Response Plan 2022,2022,472308627,232643361,160325075,49.3,0
1146,Cuba - Plan of Action: United Nations System 2022,2022,41817107,7437978,41817107,17.8,0
1101,Philippines: Super Typhoon Rai (Odette) - Humanitarian Needs and Priorities 2022,2022,168906963,92541057,107249962,54.8,2.00E+06
1107,Sri Lanka Multi-Dimensional Crisis - Humanitarian Needs and Priorities 2022,2022,149692653,96928146,47226143,64.8,20000
